Film,Rating,Year,Budget,Actor.Group1,Actor.Group2,Director,Writer
2026563,6.8,2000,2542684.6,1,15,6.800000190734863,6.800000190734863
2026595,7.6,2002,8000000,2,28,7.414285659790039,7.099999904632568
2026669,4.9,2002,5000000,6,5,4.900000095367432,4.900000095367432
2026710,7,2006,823050,0,31,7,7
2026967,6.2,2014,28000000,3,37,6.059999942779541,6.326612841698431
2027086,5.8,1987,11000000,22,14,6.566666762034099,6.266666783226861
2027147,6.6,2005,2505741,2,92,6.849999904632568,6.849999904632568
2027152,5.1,1992,6500000,14,3,6.300000031789144,5.099999904632568
2027153,4.1,1994,20000000,42,2,4.099999904632568,4.099999904632568
2027249,3.8,2000,6000000,43,5,4.149999976158142,5.025000035762787
2027299,7.9,1977,1500000,0,13,6.669230717879075,7.487500011920929
2027451,6.6,2007,32000000,3,39,6.8999998569488525,6.614999930063884
2027499,6.2,2011,28000000,2,33,6.899999936421712,6.199999809265137
2027509,2.7,2013,3000000,27,1,2.700000047683716,2.700000047683716
2027604,7.8,2006,65000000,6,74,7.600000063578288,7.102857289995467
2027649,5.9,2001,42000000,64,24,5.900000095367432,5.900000095367432
2027656,6.4,2014,110000000,5,49,6.400000095367432,6.6380953561692015
2027891,5.5,2006,2434200,15,5,5.5,5.133333325386047
2027911,7.2,2004,15703912,0,32,7.199999809265137,6.966666519641876
2028075,7.8,2007,55000000,2,31,7.11428587777274,6.666666638283503
2028133,4.4,2011,2580000,12,4,4.400000095367432,4.400000095367432
2028337,7.9,2007,693840,0,26,7.900000095367432,7.775000095367432
2028446,5.9,2010,4600000,44,24,5.900000095367432,5.900000095367432
2028471,5.6,2002,17000000,21,12,5.5333333015441895,5.599999904632568
2028724,7.7,1933,439000,1,64,7.099999904632568,7.687499940395355
2028831,6.9,2006,10000000,0,10,6.842857156481061,6.800000111262004
2028956,7.5,1941,199709.4,0,26,7.800000031789144,7.650000015894571
2029128,5.6,2011,20000000,42,6,5.772727186029607,5.599999904632568
2029554,7.8,2011,8000000,0,41,6.850000023841858,7.800000190734863
2029701,5.7,1998,13000000,54,38,5.699999809265137,5.699999809265137
2029817,4.6,2006,3000000,8,1,4.599999904632568,4.349999904632568
2029879,6.1,2012,10000000,9,27,5.833333174387614,5.324999928474426
2029963,6.1,2010,22000000,9,30,6.25,6.5
2030343,5.7,2011,13793800,6,8,6.75,6.75
2030347,3.2,2012,6000000,15,1,3.200000047683716,3.200000047683716
2030407,6,2012,3469200,1,44,6.200000013623919,6.1555555661519366
2030437,6.2,2011,4770000,2,17,7.449999809265137,6.736666552225747
2030442,6.4,2009,0.859828,4,13,6.400000095367432,6.400000095367432
2030940,6.9,2002,41000000,4,40,6.600000095367432,7.400000095367432
2030980,6.5,1994,7000000,4,40,6.119999980926513,6.5
2031002,5.2,2009,567980,11,1,5.199999809265137,5.262499809265137
2031205,7.1,2010,2500000,0,43,7.099999904632568,7.099999904632568
2031231,6.5,1999,40000000,2,46,6.563636346296831,6.575000047683716
2031339,4.9,2004,1512950,26,1,6.266666650772095,4.900000095367432
2032022,6.7,2011,2000000,4,17,6.699999809265137,6.699999809265137
2032316,7.2,2011,10000000,4,30,6.259999942779541,6.3749998807907104
2032881,7.4,1977,26000000,1,116,7.433333396911621,7.336363716558976
2033050,7.2,1998,120000000,7,46,7.683333269755046,7.354916592439015
2033949,6.8,2009,200000000,6,32,7.160000038146973,7.076704596931284
2034005,8.1,1983,4000000,0,30,6.416666666666667,6.633333418104384
2034078,5.8,2004,20000000,46,16,5.733333428700765,5.800000190734863
2034680,6,1967,3500000,1,29,8.07142870766776,8.01250010728836
2035069,7,1937,1035000,0,48,7.4571428298950195,7.099999984105428
2035119,6.5,2011,17346000,0,34,6.950000047683716,6.541666626930237
2035729,4.7,2004,1500000,45,10,4.699999809265137,4.699999809265137
2036080,5.1,2004,15000000,48,27,6.488888846503364,6.488888846503364
2036879,6.6,1932,800000,0,14,6.75,6.887500047683716
2036880,5.9,1957,4353000,17,19,6.728333342075348,6.716374291314019
2037077,5.8,2011,11522700,23,6,5.3500001430511475,6.300000031789144
2037088,7.6,1992,40000000,1,26,7.2600000381469725,7.166666666666667
2037317,7.6,1988,7500000,2,33,7.599999904632568,7.69166656335195
2037574,7.5,1948,1500000,0,74,7.790476231347947,7.4992391600125075
2037631,7.4,2006,231280,0,26,7.400000095367432,7.400000095367432
2037841,7,1966,2000000,1,26,6.728571483067104,7.040000009536743
2038457,5.3,2013,92000000,33,11,5.650000095367432,6.6125001311302185
2038518,5,1994,20000000,21,4,6.420000076293945,6.3666666348775225
2038774,6.8,1967,2500000,2,69,6.950000047683716,6.800000190734863
2038822,5.6,2003,20000000,47,11,5.25,5.718749940395355
2038962,7.7,1964,560000,0,58,6.728571483067104,7.699999809265137
2039031,5,2013,2000000,13,0,4.849999904632568,4.899999896685282
2039032,4.7,2014,3500000,20,5,4.849999904632568,4.899999896685282
2039341,6.8,2004,6500000,2,13,6.450000047683716,7.200000047683716
2039358,7,1993,12000000,5,23,6.799999952316284,6.799999952316284
2040687,6.4,1997,12000000,1,25,7.414285659790039,6.959999942779541
2040869,5.3,2012,1252870.5,11,2,5.300000190734863,5.300000190734863
2040998,7.7,1995,17000000,1,30,7.5,7.177777661217584
2041042,6.1,2005,12000000,1,63,6.649999976158142,6.349999904632568
2041276,6.6,2005,30000000,16,43,6.899999936421712,6.599999904632568
2041395,5.7,1994,10000000,28,12,5.699999809265137,5.449999928474426
2041634,6.1,2003,36000000,13,37,6.559999942779541,6.174999952316284
2041665,8,1966,2000000,0,46,7.71666677792867,7.749999920527141
2042021,8.1,1946,484144,1,25,7.830000034968059,7.830000034968059
2042314,7.3,1992,5000000,0,15,6.566666603088379,7.0000001192092896
2042351,6.5,1999,11000000,2,80,6.3666666348775225,6.832499992847443
2042380,6.7,2007,16000000,3,58,6.266666650772095,6.7499998807907104
2042454,6.2,2014,40000000,11,76,6.199999809265137,6.199999809265137
2043238,6.9,2013,3460343,0,17,6.900000095367432,6.900000095367432
2043590,6.2,1998,17000000,11,35,6.116666515668234,6.088888830608792
2043625,5.8,2013,2000000,18,7,5.800000190734863,5.9666666984558105
2043750,7.5,1984,1800000,2,23,6.116666674613953,5.849999984105428
2043752,5.2,2010,27000000,28,13,5.199999809265137,5.77999996609158
2043755,5.6,1988,7000000,22,5,5.772727186029607,6.103333288584
2043756,5.3,1985,2200000,14,7,4.550000071525574,5.575000087420145
2043757,5,1989,8000000,31,6,5.8,5.406249990065892
2044179,7.4,1984,16000000,1,24,7.650000035762787,7.566666801770528
2044347,5.8,2012,175000,15,5,5.800000190734863,5.800000190734863
2044355,6.5,2009,14000000,2,36,6.475000023841858,6.330000019073486
2044363,5.2,2013,5000000,12,3,5.199999809265137,4.8999998569488525
2045032,6.8,2006,10000000,2,46,6.669230717879075,6.800000190734863
2045664,8.2,1961,1500000,1,14,6.699999809265137,8.199999809265137
2045931,4,2013,5000000,16,4,4,4
2045936,4.2,1987,12000000,23,3,5.4999998807907104,5.452592509469869
2046526,7.1,2006,8500000,2,22,7.066666762034099,7.0028571605682375
2046802,7,2009,7000000,0,56,7.50769226367657,7.385714258466448
2046890,7.2,2009,5011482,0,18,7.099999904632568,7.174999833106995
2047142,7.5,1998,17000000,0,27,6.750000047683716,6.700000047683716
2047167,5.3,1997,28000000,16,16,5.766666730244954,5.8500001430511475
2047191,7.6,2009,7000000,1,30,7.599999904632568,7.599999904632568
2047431,4.7,1997,18000000,56,9,4.699999809265137,4.699999809265137
2047550,7.2,1984,6000000,1,30,6.7399999618530275,7.199999809265137
2047898,7.7,1937,1173639,1,82,7.382499945163727,7.446578853660159
2047902,6.5,1976,6000000,1,29,6.5,6.655208309491475
2048182,8.1,1951,1800000,0,18,7.750000238418579,7.425000238418579
2048986,5.5,1996,8000000,18,2,5.5,5.487500011920929
2049057,5.9,2012,40000000,40,17,5.337500095367432,5.433333317438762
2050055,5.5,1996,15000000,19,15,5.400000095367432,5.556000032424928
2050095,6.3,2011,19000000,17,40,6.300000190734863,6.550000190734863
2050260,6.3,1985,30000000,3,52,6.233333349227905,6.77521368499495
2050603,6.6,1995,20000000,3,24,6.599999904632568,6.605555468135409
2050625,7.4,1945,800000,0,43,7.299999952316284,7.200000047683716
2050657,7.4,2002,11000000,6,31,5.9666666984558105,6.758333345254263
2052196,4.7,2009,4868400,7,5,6.266666571299235,5.849999904632568
2052234,7.8,2011,3245600,0,10,7.800000190734863,7.825000166893005
2052615,7.3,2008,838390,0,14,7.300000190734863,7.025000095367432
2052645,3.1,2002,1866220,14,1,3.0999999046325684,3.754166603088379
2052815,7.1,2013,1947360,0,8,6.799999952316284,7.099999904632568
2052911,7.3,2010,5192960,0,6,7.300000190734863,7.300000190734863
2052956,7.9,2004,4868400,1,15,7.900000095367432,7.900000095367432
2053015,4.8,2002,25000000,93,12,4.800000190734863,6
2053226,7.1,1955,743000,0,25,6.799999952316284,7.193333268165588
2053227,7.1,1949,686000,0,25,7.399999936421712,7.254999935626984
2053228,6.5,1955,738000,1,27,6.799999952316284,7.193333268165588
2053394,5,2011,35000000,34,28,6.066666682561238,5.799999952316284
2053483,6.8,2010,1000000,1,12,6.800000190734863,6.800000190734863
2054009,7.1,2002,27000000,0,77,6.137142821720668,6.49166667064031
2054046,4.8,2012,2500000,60,7,4.800000190734863,4.800000190734863
2054210,5.9,1988,7500000,31,24,6.414285796029227,5.5729167113701505
2054280,6,2012,69000000,27,78,6.125,6.150000095367432
2054322,7.8,1997,2571318.7,0,19,7.640000057220459,7.500000079472859
2054518,5.8,2011,70000,20,9,6.150000095367432,6.150000095367432
2054532,4.2,2003,8000000,18,4,4.199999809265137,5.400000015894572
2054577,7.8,1999,1478305,0,37,7.400000095367432,7.400000095367432
2054928,6.6,2012,5000000,1,29,6.599999904632568,6.599999904632568
2055223,6.5,1993,2500000,0,20,6.762499988079071,6.837499976158142
2055359,8.2,1951,1821052,0,35,7.790476231347947,7.839673858621846
2055404,6.2,1995,30000000,6,16,6.174999833106995,6.111110978656345
2056063,7.5,2007,45000000,7,286,7.450000047683716,6.911111089918347
2056145,6.5,2012,12000000,5,57,6.549999952316284,6.900000095367432
2056321,5.1,1988,7000000,16,27,5.600000063578288,5.849999904632568
2056768,6,1997,1482576,6,29,5.799999952316284,5.799999952316284
2056896,6.3,2008,10000000,3,64,6.657142843518939,6.300000190734863
2057010,7.7,2002,19000000,1,36,7.866666793823242,7.6933331807454435
2057763,6.9,2008,22000000,3,72,6.900000095367432,6.700000047683716
2057797,5.7,2013,13000000,52,22,6.014285700661795,6.049999833106995
2057968,6.4,2008,4700000,5,30,6.628571442195347,6.839999961853027
2057973,6.2,2013,16000000,4,29,6.449999809265137,6.394444333182441
2058119,5.4,2007,4000000,16,7,5.400000095367432,5.400000095367432
2058398,7.6,2010,500000,0,36,7.599999904632568,7.799999952316284
2058616,6.3,2008,2500000,7,27,6.300000190734863,6.300000190734863
2059169,7,1997,6000000,6,18,6.657142843518939,7.1699999332427975
2059860,5,2013,130000000,29,14,5.883333285649617,5.629166682561238
2059904,7.7,1985,4500000,0,24,7.305882341721478,7.699999809265137
2060081,5.7,2007,825000,10,6,5.699999809265137,5.699999809265137
2060301,6.3,2004,58000000,9,35,6.327272675254128,6.300000190734863
2060404,6,2009,4500000,5,26,6,6
2060579,4.8,2012,2000000,29,2,4.800000190734863,5.158333460489909
2060738,5.8,1984,13000000,14,11,6.524999976158142,5.800000190734863
2061160,5,2003,26000000,44,7,5.699999968210856,5.560000038146972
2061273,5.5,2004,16189600,32,8,5.5,5.7799999713897705
2061452,7,2012,9736800,2,19,7,7
2061570,5.5,2010,4278680,14,5,5.5,5.774999976158142
2061628,7.2,2009,70000000,6,50,7.640000057220459,7.500000079472859
2062722,7.3,1999,8869830,0,45,7.300000190734863,7.300000190734863
2062889,5.7,1990,35000000,11,12,6.149999976158142,5.966666539510091
2062931,6.4,1997,85000000,8,61,6.883333285649617,5.933333237965901
2063060,6.1,1993,2600000,3,20,6,6.099999904632568
2063064,3.9,2012,1200000,26,4,3.5,3.9000000953674316
2063170,6.6,1970,10000000,7,124,6.74999992052714,7.0333333015441895
2064079,8.1,1988,9369800,2,89,7.500000238418579,7.800000309944153
2064260,5.9,2001,2200000,9,6,5.900000095367432,5.866666714350383
2064423,7.3,1994,2000000,0,20,7.300000190734863,7.300000190734863
2065274,4.6,2009,8114000,21,0,4.599999904632568,5.049999912579854
2065565,5.7,1996,23000000,6,5,5.699999809265137,5.699999809265137
2065641,6.1,2006,28000000,4,51,6.299999952316284,6.166666587193807
2065869,6.1,1996,5000000,4,18,6.3999998569488525,6.099999904632568
2066306,5.1,2012,35000000,66,26,5.960000038146973,5.588888883590698
2066387,5.5,2004,155000000,40,26,6.95,6.308080808080807
2066392,6.5,2014,28000000,5,45,6.5,6.5
2066428,7.1,1938,2000000,0,53,7.233333269755046,7.220833241939545
2066460,6.6,2003,1646100,1,14,6.799999952316284,6.799999952316284
2066519,7.8,1964,783000,0,9,7.800000190734863,7.7500001192092896
2066581,6.2,2004,60000000,6,37,5.766666571299235,6.074999849001567
2066852,6.7,2001,107000000,12,123,7.100000040871756,6.969285682269505
2066910,6.2,2002,7564750,4,82,6.199999809265137,6.458333373069763
2067125,6.6,1990,12000000,5,44,7.158064519205401,7.096874997019768
2067214,7.4,1974,1800000,1,30,7.305882341721478,6.899999936421712
2067245,8,1974,295661,0,11,7.033333381017049,7.4899999618530275
2067279,7.4,1951,3000000,0,23,7.425000063578288,7.376111195882161
2067385,5.8,1972,2500000,12,14,5.800000190734863,6.133333444595337
2067477,8.5,1979,11000000,0,9,6.866666603088379,6.1750000198682145
2067486,2.6,2005,600000,43,0,2.5999999046325684,2.5999999046325684
2067514,5.8,2006,7564750,20,21,5.800000190734863,6.262499988079071
2067598,6.3,1988,16000000,9,31,5.1000001430511475,6.300000190734863
2067677,4.4,2010,600000,19,1,4.400000095367432,4.400000095367432
2067689,6.3,1997,75000000,5,26,7.416666587193807,6.43571428987715
2067793,6.4,1992,63000000,1,15,8.03333330154419,6.1395833240615
2068449,6.6,1989,14000000,2,24,6.507142861684163,6.575555511315665
2068714,3.7,2006,3100000,59,6,4.350000023841858,3.700000047683716
2068850,6.9,2013,9000000,0,1,6.900000095367432,6.900000095367432
2069097,7.6,2002,9000000,0,39,7.674999952316284,7.674999952316284
2069245,3.8,2005,1200000,103,0,4.449999928474426,3.3333332538604736
2069293,7.2,1997,1258560,1,52,7.199999809265137,6.424999833106995
2069423,5.6,2006,750000,14,3,6.850000023841858,5.599999904632568
2069479,6.2,2006,55000000,4,39,6.199999809265137,6.583333214124044
2069520,5.8,2000,57000000,28,21,6.50000015894572,6.657500064373016
2069526,4.5,2001,25000000,37,6,5.6333333651224775,4.5
2069666,7.7,1940,1370000,0,44,7.699999809265137,7.8666666348775225
2069676,7.2,1941,750000,0,55,7.199999809265137,7.177777608235677
2070258,6.7,2005,1556060,0,23,6.699999809265137,6.699999809265137
2070429,7.1,2007,4325514.2,4,55,7.099999904632568,7.099999904632568
2070601,5.9,1980,1500000,26,16,6,6.260526381040874
2071056,5.4,1990,25000000,22,21,5.400000095367432,5.525000095367432
2071090,7.9,2000,60000000,5,79,7.066666762034099,7.100000023841858
2071478,2.3,2005,20000000,22,0,3.3999999931880405,3.649999976158142
2071553,6.2,2006,1000000,2,8,6.199999809265137,6.199999809265137
2071591,6.3,2001,60000000,9,32,6.424999952316284,5.833333373069763
2071598,5.9,2004,42000000,45,19,6.3666666348775225,6.300000031789144
2071828,7.2,1965,220000,0,8,7.377777841356066,7.288888825310601
2071895,5.7,2007,2500000,10,5,5.699999809265137,5.699999809265137
2071951,7.5,1983,2000000,0,15,7.5,7.5
2072211,5.7,2006,8000000,10,4,5.699999809265137,5.2749998569488525
2072489,5.3,2007,60000000,32,19,5.366666793823242,5.187500139077504
2072498,4.4,2009,75000000,55,6,5.583333412806193,5.875000079472859
2072519,6.4,1989,31000000,1,31,7.231250077486038,6.600000111262003
2072735,7.1,2004,4000000,1,8,7.099999904632568,7.099999904632568
2074261,7.9,1999,3800000,0,83,7.900000095367432,7.805000066757202
2074309,5.8,2009,40000000,25,21,6.0333333015441895,6.140625124176343
2074356,7.3,2002,18161166,2,80,6.675000071525574,7.222222354676988
2074716,5.7,2001,48000000,26,21,5.266666571299235,5.724999944368998
2074752,8,2006,1000000,0,27,8,8
2074989,3.9,2008,10000000,24,5,3.9000000953674316,3.9000000953674316
2075019,6.7,2001,250000,2,118,6.699999809265137,6.699999809265137
2075076,5.5,2006,19000000,53,24,6.014285700661795,5.9
2075179,6.1,1980,4800000,5,35,6.657142843518939,6.9899999618530275
2075218,7.5,1973,777000,3,43,7.149999976158142,6.34999992052714
2075272,8.6,1998,7500000,2,42,8.600000381469727,7.300000190734863
2075450,4.5,1987,350000,15,2,4.5,4.625
2075480,6,2001,35000000,11,31,5.899999936421712,6.133333285649618
2075500,7,1999,11000000,12,66,6.137142821720668,6.6250001192092896
2075501,6.4,2001,30000000,17,63,5.549999952316284,6.2375001311302185
2075510,6.6,1999,650000,2,14,6.899999976158142,
2075535,7.6,2000,7000000,2,38,7.599999904632568,6.849999904632568
2075562,6.8,2012,50000000,12,46,6.800000190734863,6.575000166893005
2075763,6.3,2003,55000000,8,27,6,6.6250001192092896
2075788,5.1,2007,1000000,29,4,5.099999904632568,4.774999916553497
2076953,8.1,2000,2000000,0,35,7.900000095367432,7.566666762034099
2077027,7.8,2012,8900000,0,11,7.3500001430511475,7.3500001430511475
2077285,5.2,2008,6000000,13,3,5.799999952316284,5.099999904632568
2077360,5.3,2001,500000,22,9,5.300000190734863,5.300000190734863
2077673,4.4,2008,12000000,135,22,4.880000019073487,4.773333422342936
2077683,7.4,2007,2000000,3,27,6.8500001430511475,7.400000095367432
2077704,5,2005,14000000,11,7,4.333333333333333,5
2077716,7.3,1951,2723903,0,126,7.066666642824809,6.971428530556815
2077780,7.6,1981,10000000,3,48,6.190909125588157,6.320000076293946
2078118,7.3,2009,6808275,0,27,7.150000095367432,7.083333412806192
2079258,7.1,2005,30000000,3,18,7.300000071525574,7.099999904632568
2079571,4.6,1997,45000000,2,6,4.4666666984558105,5.222222222222222
2079580,4.5,2004,25000000,5,3,5.350000023841858,5.188809497583479
2080705,6.7,1999,30000000,6,45,6.7500001192092896,6.516666611035665
2080767,8.8,1971,48684,0,14,8.800000190734863,8.475000143051147
2080906,7.1,1997,53000000,5,41,6.635714292526245,7.229999923706055
2080994,6.1,2000,4967104.8,4,34,5.6333333651224775,6.099999904632568
2081234,6.4,2013,50000000,20,125,6.766666730244954,6.700000047683716
2081238,7.3,2004,26000000,8,47,6.766666730244954,6.700000047683716
2081454,7.6,1971,100000,0,12,7.599999904632568,7.771388730075625
2081671,6.9,2007,8000000,1,19,6.650000095367432,6.925000071525574
2082135,8.3,1966,15313,0,35,8.175000190734863,7.962500095367432
2082164,5.9,1982,500000,9,5,5.900000095367432,5.900000095367432
2082879,5.5,1984,3000000,16,9,5.5,5.5
2082897,5.9,2007,15000000,12,16,5.900000095367432,5.900000095367432
2083007,7.3,1987,17000000,2,49,7.257142952510288,6.933333476384481
2083210,7.1,2005,17346000,0,14,6.572727246717974,6.303225778764294
2083243,7.3,1999,25000000,1,87,7.257142952510288,7.03888906372918
2083417,6.7,2009,150000000,11,129,6.4749999443689985,6.5583332821174904
2083557,1.8,1979,300000,25,3,1.7999999523162842,2.699999988079071
2083601,6.2,2003,75000000,22,67,6.100000040871756,5.3999998569488525
2083807,6.2,2014,325927,5,79,6.199999809265137,6.199999809265137
2083843,8.1,1974,153743.72,0,22,7.330769208761362,7.330769208761362
2084154,7.6,1978,3000000,2,33,6.190909125588157,7.1666666401757135
2084173,7.3,2010,4115250,0,39,6.900000095367432,6.900000095367432
2084647,4.8,2014,12171000,8,7,5.1250001192092896,5.450000047683716
2084947,6.7,1999,75000000,1,34,6.249999920527141,6.52222220102946
2084966,7,1930,376000,0,6,7.320000076293946,7.399999936421713
2085022,7.1,1935,1152000,0,53,7.320000076293946,7.174999892711639
2085201,5.8,2014,6500000,14,6,4.700000047683716,5.800000190734863
2085428,6.4,1982,50000000,4,54,6.989999985694885,6.5722222328186035
2085453,7.1,1950,3768785,1,76,6.970833222071329,7.300000005298191
2085463,8.2,1977,4000000,1,60,7.158064519205401,7.168437479436397
2085566,7.9,2005,4543840,0,16,7.6333333651224775,7.591666658719381
2085821,6.9,2011,30000000,0,79,6.487500071525574,6.799999952316284
2085870,5.7,1990,38000000,34,24,6.3900000095367435,5.950833308129084
2085958,6.5,1998,4500000,3,22,6.75,6.300000031789144
2086004,5,2006,500000,44,3,5,5.450000047683716
2086018,6,2011,4000000,2,30,6,6
2086207,7.4,1988,10000000,1,40,7.158064519205401,7.096874997019768
2086229,5.2,1991,17000000,22,16,5.199999809265137,4.849999904632568
2086774,6.6,2009,11000000,0,2,7.285714217594692,7.285714217594692
2086868,7.1,2005,2197160,2,35,6.699999968210856,6.950000047683716
2086950,6.1,2001,30000000,18,37,6.266666730244954,6.740000057220459
2086954,5.6,2012,2672790.4,21,7,5.599999904632568,5.599999904632568
2087193,7.3,2002,12500000,5,45,7.450000047683716,7.300000190734863
2087200,6.6,1998,60000000,2,13,6.699999928474426,6.166666634877522
2087318,5.3,2011,1000000,43,4,5.300000190734863,5.300000190734863
2087979,2.6,2012,5000000,11,2,2.5999999046325684,2.5999999046325684
2088245,5.8,2007,4000000,8,8,6.400000095367432,5.800000190734863
2088466,7.6,1995,62000000,5,73,6.4749999443689985,7.399999891008649
2088476,5.2,2011,5000000,9,0,5.199999809265137,5.199999809265137
2089319,6.7,1998,14000000,5,22,7.166666587193807,6.563888850035491
2089455,5.2,2006,12000000,20,7,5.199999809265137,5.3166665236155195
2089857,3.8,2001,570000,9,1,4.550000071525574,3.799999952316284
2089858,6.3,1990,31000000,4,25,6.800000190734863,5.896666733423868
2089895,6.8,2004,4500000,0,6,6.766666730244954,6.7333334604899076
2090547,6.8,2013,4625.6,2,120,6.800000190734863,6.800000190734863
2090623,4.5,2005,32000000,25,3,4.714285782405308,4.978174618312291
2090969,7,2004,1200000,0,15,7,7
2090972,7.8,2012,44500000,10,183,7.699999968210856,7.800000190734863
2091316,7.4,1992,19000000,0,34,7.799999952316284,7.200000047683716
2091527,7.6,2010,1500000,,,7.599999904632568,7.599999904632568
2091541,6.6,1998,140000000,12,88,6.563636389645663,6.467238049280075
2091759,5.7,2009,20000000,9,8,6.4999998807907104,5.699999809265137
2091928,6.5,2008,25945080,2,25,6.549999952316284,6.793333387374878
2091929,6.6,2007,28910000,4,34,6.549999952316284,6.793333387374878
2092223,7.6,2013,9736800,0,41,7.450000047683716,7.6499998569488525
2092226,7.5,2007,120000,1,36,7.5,7.5
2093237,5.8,2011,40000000,38,37,5.800000190734863,6.1625001430511475
2093243,5.5,2010,75166000,13,15,6.572727246717974,5.934946190926336
2093272,5.2,2009,75166000,11,12,6.572727246717974,5.823297428828414
2093274,6,2006,75166000,14,27,6.572727246717974,5.9116487144142065
2093599,6.7,1955,1500000,2,88,6.299999952316284,6.712499876817067
2093800,7.2,2009,2596480,1,5,7.199999809265137,7.199999809265137
2093865,7.1,2009,3407880,2,14,7.099999904632568,7.099999904632568
2094099,7.8,1997,50000000,2,63,6.6333333651224775,6.679166754086813
2096183,4.2,2013,3000000,57,7,4.199999809265137,4.199999809265137
2096621,7.5,2011,100000,0,3,7.5,7.5
2096647,6.3,2008,11500000,6,51,6.300000190734863,6.300000190734863
2096714,7.4,1976,150000,0,25,6.607692278348482,5.82307690840501
2096715,6.3,2005,20000000,6,24,6.900000095367432,6.011538438307934
2097281,6.4,2009,40000000,4,21,6.5,6.272222280502319
2097384,5.8,1999,48421547.64,64,24,5.800000190734863,6.060000076293945
2097385,5.3,2012,70540400,51,29,5.300000190734863,5.686000118255615
2097386,6.6,2002,57657294,2,54,6.599999904632568,5.9600000540415445
2097388,5,2008,90199200,39,11,5,5.637619070779709
2097804,6.5,2013,2500000,2,20,6.5,6.5
2097844,6.7,1991,36000000,0,16,7.1499998569488525,6.949999888737996
2098269,7.5,2001,1637084.12,0,40,7.5,7.5
2098275,7.2,2009,300,0,3,7.199999809265137,7.199999809265137
2098587,6.2,2010,3245600,7,12,5.099999904632568,5.373958269755046
2098650,7.4,1980,7200000,0,26,7.400000095367432,7.150000095367432
2098725,6.7,2001,90000000,3,11,7.400000095367432,6.774330258369446
2098748,5.5,2012,10000000,28,23,5.5,5.5
2098781,4.6,2012,3000000,8,3,4.599999904632568,5.799999952316284
