Writer,Rating
240615,6.6
240742,6.2
240795,8.5
240815,5.8
240907,6.28
241101,7.07
241125,5.8
241501,7.1
241580,2.9
241599,7.6
242564,5.5
242675,3.9
243215,8.4
243298,6.7
243337,5.5
243442,7.7
243567,6.55
243677,6.2
244092,6.5
244219,7.07
244310,7.3
244546,8.2
245870,7.3
245978,7.0
245989,3.5
246800,6.3
247022,6.1
247344,7.6
247384,7.3
247419,7.3
247503,8.4
247803,6.7
248175,7.8
248391,5.9
248525,5.0
248560,7.1
248623,5.6
248631,5.7
248736,3.3
248786,5.5
249451,5.7
249726,5.6
249733,4.9
249764,5.25
250011,7.9
250016,6.29
250046,6.7
250179,8.6
250677,3.1
250702,6.3
250864,6.8
251194,7.1
251248,5.65
251302,7.0
251356,6.1
251416,5.7
251441,6.4
251458,5.9
251787,7.0
251804,6.2
251825,6.51
251867,7.25
251905,6.89
252529,7.8
252764,6.41
252782,6.9
252913,7.83
253276,7.2
253316,7.2
253371,6.83
253587,4.8
253682,7.7
254103,7.4
254615,6.5
254762,5.7
254819,5.97
255034,6.2
255319,7.0
255388,5.85
255389,7.05
255487,5.82
255539,6.8
255768,6.22
256062,4.27
256466,6.22
257087,7.2
257546,7.9
257573,8.3
257636,4.8
257639,4.8
258021,3.1
258022,7.3
258117,3.5
258618,6.8
258666,6.08
258737,6.6
258819,5.05
259258,5.2
259312,6.4
259382,4.0
259801,6.7
259865,2.0
260133,6.3
260185,4.2
260449,5.25
260531,7.1
260819,7.2
260861,5.7
260985,6.33
261005,5.5
261120,5.4
261849,7.5
262151,3.8
262253,5.6
262376,3.9
262809,6.3
262854,4.7
262879,5.1
263097,6.4
263326,5.9
263450,7.8
263482,7.2
263560,6.0
263669,5.8
263743,5.2
263817,5.7
263968,5.7
264031,7.35
264055,4.8
264495,5.5
264749,3.8
264767,4.7
264997,6.7
265245,6.9
265308,6.9
265943,5.3
266813,7.0
267054,4.5
267320,5.3
267362,3.8
267884,3.0
268223,5.8
268467,4.9
268873,7.0
269234,8.3
269290,6.8
269406,7.6
269523,7.61
269681,6.1
269906,6.7
270107,6.35
270194,5.87
270228,6.0
270472,7.7
270489,4.9
270528,4.8
270578,7.25
270817,6.0
271048,3.2
271176,6.8
271431,4.2
271872,5.5
271903,6.0
